t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
2017-12-11,Onion,241,Muktsar,3,Punjab,44,Muktsar,Nasik,2000.0,2800.0,2500
2017-12-11,Onion,242,Malout,3,Punjab,44,Muktsar,Onion,3200.0,3500.0,3300
2017-12-11,Onion,1611,Chamkaur Sahib,3,Punjab,51,Rupnagar,Other,4000.0,4200.0,4100
2017-12-11,Onion,624,Patti,3,Punjab,50,Tarn Taran,Other,2800.0,3500.0,3200
2017-12-11,Onion,822,Lalru,3,Punjab,52,Sahibzada Ajit Singh Nagar,Other,2000.0,2500.0,2250
2017-12-11,Onion,823,Morinda,3,Punjab,51,Rupnagar,Other,3700.0,3900.0,3800
2017-12-11,Onion,4439,Banur (Kheragaju),3,Punjab,52,Sahibzada Ajit Singh Nagar,1st Sort,3000.0,4000.0,3200
2017-12-11,Onion,1751,Dera Bassi,3,Punjab,52,Sahibzada Ajit Singh Nagar,Other,3500.0,3700.0,3600
2017-12-11,Onion,632,Faridkot,3,Punjab,45,Faridkot,Onion,2850.0,3800.0,3500
2017-12-11,Onion,1574,Bhucho,3,Punjab,46,Bathinda,Other,2500.0,3200.0,3000
2017-12-11,Onion,228,Kotkapura,3,Punjab,45,Faridkot,Nasik,3500.0,4000.0,3700
2017-12-11,Onion,643,Giddarbaha,3,Punjab,44,Muktsar,Onion,3300.0,3500.0,3400
2017-12-11,Onion,2890,Rampuraphul(Nabha Mandi),3,Punjab,46,Bathinda,Other,200.0,250.0,220
2017-12-11,Onion,244,Patran,3,Punjab,48,Patiala,Other,2700.0,3200.0,3000
2017-12-11,Onion,1588,Tanda Urmur,3,Punjab,38,Hoshiarpur,Other,3500.0,4500.0,4200
2017-12-11,Onion,4444,GarhShankar (Kotfatuhi),3,Punjab,38,Hoshiarpur,Other,3000.0,3500.0,3300
2017-12-11,Onion,229,Fazilka,3,Punjab,43,Firozpur,Other,2800.0,3600.0,3200
2017-12-11,Onion,240,Moga,3,Punjab,42,Moga,Other,1500.0,3700.0,2900
2017-12-11,Onion,239,Baghapurana,3,Punjab,42,Moga,Other,3500.0,4000.0,3800
2017-12-11,Onion,243,Patiala,3,Punjab,48,Patiala,Local,2500.0,3500.0,3000
2017-12-11,Onion,638,Raikot,3,Punjab,41,Ludhiana,Other,4000.0,4400.0,4200
2017-12-11,Onion,1615,Khanauri,3,Punjab,53,Sangrur,Other,950.0,1150.0,1050
2017-12-11,Onion,248,Dhuri,3,Punjab,53,Sangrur,Other,3500.0,3700.0,3600
2017-12-11,Onion,623,Ajnala,3,Punjab,49,Amritsar,Red,2000.0,2400.0,2200
2017-12-11,Onion,1598,Machhiwara,3,Punjab,41,Ludhiana,Other,3000.0,3400.0,3400
2017-12-12,Onion,1732,Bhagta Bhai Ka,3,Punjab,46,Bathinda,Other,3800.0,4120.0,4000
2017-12-12,Onion,235,Guru Har Sahai,3,Punjab,43,Firozpur,Onion,3000.0,3500.0,3500
2017-12-12,Onion,1581,Zira,3,Punjab,43,Firozpur,Medium,1800.0,2500.0,2000
2017-12-12,Onion,2890,Rampuraphul(Nabha Mandi),3,Punjab,46,Bathinda,Other,190.0,250.0,200
2017-12-12,Onion,1737,Mamdot,3,Punjab,43,Firozpur,Other,4000.0,4100.0,4050
2017-12-12,Onion,643,Giddarbaha,3,Punjab,44,Muktsar,Onion,3000.0,3300.0,3200
2017-12-12,Onion,242,Malout,3,Punjab,44,Muktsar,Onion,2000.0,3600.0,3000
2017-12-12,Onion,241,Muktsar,3,Punjab,44,Muktsar,Nasik,2000.0,2800.0,2500
2017-12-12,Onion,631,Raman,3,Punjab,46,Bathinda,Other,3400.0,3600.0,3550
2017-12-12,Onion,632,Faridkot,3,Punjab,45,Faridkot,Onion,3100.0,3600.0,3250
2017-12-12,Onion,1574,Bhucho,3,Punjab,46,Bathinda,Other,2800.0,3500.0,3000
2017-12-12,Onion,823,Morinda,3,Punjab,51,Rupnagar,Other,3900.0,4100.0,4000
2017-12-12,Onion,623,Ajnala,3,Punjab,49,Amritsar,Red,2000.0,2200.0,2200
2017-12-12,Onion,246,Nabha,3,Punjab,48,Patiala,Other,2200.0,3200.0,2600
2017-12-12,Onion,1751,Dera Bassi,3,Punjab,52,Sahibzada Ajit Singh Nagar,Other,3500.0,3700.0,3600
2017-12-12,Onion,822,Lalru,3,Punjab,52,Sahibzada Ajit Singh Nagar,Other,2500.0,3000.0,2500
2017-12-12,Onion,244,Patran,3,Punjab,48,Patiala,Other,2800.0,3300.0,3000
2017-12-12,Onion,1611,Chamkaur Sahib,3,Punjab,51,Rupnagar,Other,3800.0,4000.0,3850
2017-12-12,Onion,4439,Banur (Kheragaju),3,Punjab,52,Sahibzada Ajit Singh Nagar,1st Sort,3000.0,4000.0,3500
2017-12-12,Onion,1759,Sangrur,3,Punjab,53,Sangrur,Onion,3500.0,3600.0,3500
2017-12-12,Onion,1615,Khanauri,3,Punjab,53,Sangrur,Other,950.0,1150.0,1050
2017-12-12,Onion,248,Dhuri,3,Punjab,53,Sangrur,Other,3400.0,3600.0,3500
2017-12-12,Onion,249,Malerkotla,3,Punjab,53,Sangrur,Other,3400.0,3700.0,3550
2017-12-12,Onion,624,Patti,3,Punjab,50,Tarn Taran,Other,200.0,600.0,250
2017-12-12,Onion,634,Firozepur City,3,Punjab,43,Firozpur,Other,3000.0,3500.0,3250
2017-12-12,Onion,228,Kotkapura,3,Punjab,45,Faridkot,Nasik,3500.0,4000.0,3700
2017-12-12,Onion,638,Raikot,3,Punjab,41,Ludhiana,Other,3500.0,3800.0,3600
2017-12-12,Onion,625,Pathankot,3,Punjab,35,Gurdaspur,Other,2500.0,2800.0,2650
2017-12-12,Onion,238,Jagraon,3,Punjab,41,Ludhiana,Other,3300.0,3500.0,3400
2017-12-12,Onion,1582,Dinanagar,3,Punjab,35,Gurdaspur,Other,3200.0,3500.0,3400
2017-12-12,Onion,233,Batala,3,Punjab,35,Gurdaspur,Other,2700.0,3200.0,3000
2017-12-12,Onion,640,Phagwara,3,Punjab,36,Kapurthala,Other,3100.0,3690.0,3395
2017-12-12,Onion,229,Fazilka,3,Punjab,43,Firozpur,Other,2800.0,3600.0,3200
2017-12-12,Onion,4444,GarhShankar (Kotfatuhi),3,Punjab,38,Hoshiarpur,Other,3000.0,3500.0,3200
2017-12-12,Onion,1589,Adampur,3,Punjab,37,Jalandhar,Other,3000.0,3500.0,3500
2017-12-12,Onion,3106,Garh Shankar(Mahalpur),3,Punjab,38,Hoshiarpur,Onion,3000.0,3800.0,3500
2017-12-12,Onion,1586,Dasuya,3,Punjab,38,Hoshiarpur,Other,3000.0,3500.0,3500
2017-12-12,Onion,1591,Goraya,3,Punjab,37,Jalandhar,Other,3000.0,3500.0,3000
2017-12-12,Onion,636,Hoshiarpur,3,Punjab,38,Hoshiarpur,Other,2400.0,2800.0,2600
2017-12-12,Onion,2872,Jalandhar City(Jalandhar),3,Punjab,37,Jalandhar,Other,1800.0,3300.0,2500
2017-12-12,Onion,231,Ferozepur Cantt.,3,Punjab,43,Firozpur,Onion,3900.0,4000.0,3950
2017-12-12,Onion,1602,Dharamkot,3,Punjab,42,Moga,Other,4000.0,4000.0,4000
2017-12-12,Onion,3100,Phillaur(Apra Mandi),3,Punjab,37,Jalandhar,Other,2400.0,2600.0,2500
2017-12-12,Onion,237,Khanna,3,Punjab,41,Ludhiana,Other,2500.0,3500.0,3000
2017-12-12,Onion,2875,Nawan Shahar(Subzi Mandi),3,Punjab,39,Shahid Bhagat Singh Nagar,Other,2500.0,3500.0,3100
2017-12-12,Onion,1181,Sirhind,3,Punjab,40,Fatehgarh Sahib,Other,3700.0,4100.0,3900
2017-12-12,Onion,1598,Machhiwara,3,Punjab,41,Ludhiana,Other,3000.0,3400.0,3300
2017-12-12,Onion,639,Samrala,3,Punjab,41,Ludhiana,Other,2800.0,3200.0,3000
2017-12-12,Onion,1618,Bassi Pathana,3,Punjab,40,Fatehgarh Sahib,Medium,3500.0,4000.0,3800
2017-12-12,Onion,1607,Balachaur,3,Punjab,39,Shahid Bhagat Singh Nagar,Other,3400.0,3600.0,3500
2017-12-12,Onion,239,Baghapurana,3,Punjab,42,Moga,Other,3500.0,4000.0,3800
2017-12-12,Onion,1608,Banga,3,Punjab,39,Shahid Bhagat Singh Nagar,Other,2700.0,3500.0,3000
2017-12-12,Onion,240,Moga,3,Punjab,42,Moga,Other,2000.0,3800.0,3200
2017-12-13,Onion,1611,Chamkaur Sahib,3,Punjab,51,Rupnagar,Other,3500.0,4000.0,3550
2017-12-13,Onion,1589,Adampur,3,Punjab,37,Jalandhar,Other,3000.0,3500.0,3500
2017-12-13,Onion,625,Pathankot,3,Punjab,35,Gurdaspur,Other,2600.0,2800.0,2700
2017-12-13,Onion,1582,Dinanagar,3,Punjab,35,Gurdaspur,Other,3200.0,3500.0,3400
2017-12-13,Onion,233,Batala,3,Punjab,35,Gurdaspur,Other,2800.0,3500.0,3100
2017-12-13,Onion,1615,Khanauri,3,Punjab,53,Sangrur,Other,950.0,1150.0,1050
2017-12-13,Onion,626,Gurdaspur,3,Punjab,35,Gurdaspur,Other,3500.0,4000.0,3750
2017-12-13,Onion,249,Malerkotla,3,Punjab,53,Sangrur,Other,3400.0,3700.0,3550
2017-12-13,Onion,1751,Dera Bassi,3,Punjab,52,Sahibzada Ajit Singh Nagar,Other,3500.0,3900.0,3700
2017-12-13,Onion,640,Phagwara,3,Punjab,36,Kapurthala,Other,3200.0,3500.0,3350
2017-12-13,Onion,248,Dhuri,3,Punjab,53,Sangrur,Other,3000.0,3700.0,3400
2017-12-13,Onion,636,Hoshiarpur,3,Punjab,38,Hoshiarpur,Other,2000.0,2600.0,2300
2017-12-13,Onion,247,Barnala,3,Punjab,54,Barnala,Other,3000.0,3500.0,3250
2017-12-13,Onion,2875,Nawan Shahar(Subzi Mandi),3,Punjab,39,Shahid Bhagat Singh Nagar,Other,2500.0,3500.0,3120
2017-12-13,Onion,1586,Dasuya,3,Punjab,38,Hoshiarpur,Other,3200.0,3500.0,3500
2017-12-13,Onion,1608,Banga,3,Punjab,39,Shahid Bhagat Singh Nagar,Other,3200.0,3598.0,3500
2017-12-13,Onion,3100,Phillaur(Apra Mandi),3,Punjab,37,Jalandhar,Other,2500.0,2700.0,2600
2017-12-13,Onion,2872,Jalandhar City(Jalandhar),3,Punjab,37,Jalandhar,Other,1900.0,3300.0,2400
2017-12-13,Onion,1591,Goraya,3,Punjab,37,Jalandhar,Other,3000.0,3500.0,3000
2017-12-13,Onion,1588,Tanda Urmur,3,Punjab,38,Hoshiarpur,Other,4000.0,5000.0,4500
2017-12-13,Onion,1607,Balachaur,3,Punjab,39,Shahid Bhagat Singh Nagar,Other,3000.0,3400.0,3200
2017-12-13,Onion,1181,Sirhind,3,Punjab,40,Fatehgarh Sahib,Other,3600.0,4200.0,4000
2017-12-13,Onion,4439,Banur (Kheragaju),3,Punjab,52,Sahibzada Ajit Singh Nagar,1st Sort,3000.0,4000.0,3200
2017-12-13,Onion,1733,Talwandi Sabo,3,Punjab,46,Bathinda,Other,3400.0,3700.0,3500
2017-12-13,Onion,639,Samrala,3,Punjab,41,Ludhiana,Other,2800.0,3000.0,2900
2017-12-13,Onion,1574,Bhucho,3,Punjab,46,Bathinda,Other,2800.0,3500.0,3000
2017-12-13,Onion,243,Patiala,3,Punjab,48,Patiala,Local,3000.0,4000.0,3500
2017-12-13,Onion,229,Fazilka,3,Punjab,43,Firozpur,Other,2800.0,3600.0,3200
2017-12-13,Onion,240,Moga,3,Punjab,42,Moga,Other,2000.0,3800.0,3500
2017-12-13,Onion,1618,Bassi Pathana,3,Punjab,40,Fatehgarh Sahib,Medium,3500.0,4200.0,4000
2017-12-13,Onion,238,Jagraon,3,Punjab,41,Ludhiana,Other,3000.0,3450.0,3200
2017-12-13,Onion,239,Baghapurana,3,Punjab,42,Moga,Other,3500.0,4000.0,3800
2017-12-13,Onion,1598,Machhiwara,3,Punjab,41,Ludhiana,Other,3000.0,3400.0,3200
2017-12-13,Onion,823,Morinda,3,Punjab,51,Rupnagar,Other,3900.0,4050.0,3930
2017-12-13,Onion,638,Raikot,3,Punjab,41,Ludhiana,Other,3600.0,3900.0,3800
2017-12-13,Onion,1602,Dharamkot,3,Punjab,42,Moga,Other,4000.0,4000.0,4000
2017-12-13,Onion,647,Ropar,3,Punjab,51,Rupnagar,Other,3400.0,3700.0,3500
2017-12-13,Onion,1581,Zira,3,Punjab,43,Firozpur,Medium,1800.0,2500.0,2000
2017-12-13,Onion,634,Firozepur City,3,Punjab,43,Firozpur,Other,3000.0,3500.0,3250
