t,market_id,market_name,district_name,variety,p_min,p_max,p_modal,clean_market,match_score,latitude,longitude,t2m_mean,t2m_max,t2m_min,d2m_mean,precip_sum_mm,wind_speed_mean
2017-12-11,239,Baghapurana,Moga,Other,3500.0,4000.0,3800,BAGHAPURANA,95.65217391304348,30.6815,75.0867,14.395660400390625,15.753326416015625,12.922027587890625,11.650680541992188,29.239805221557617,2.6409785747528076
2017-12-11,1574,Bhucho,Bathinda,Other,2500.0,3200.0,3000,BHUCHO,100.0,30.2109,75.0942,15.126129150390625,16.497467041015625,13.541168212890625,11.863571166992188,21.655502319335938,3.0025453567504883
2017-12-11,1611,Chamkaur Sahib,Rupnagar,Other,4000.0,4200.0,4100,CHAMKAUR SAHIB,100.0,30.8978,76.404,15.452301025390625,18.111724853515625,13.209136962890625,11.299606323242188,15.554035186767578,2.194028377532959
2017-12-11,1751,Dera Bassi,Sahibzada Ajit Singh Nagar,Other,3500.0,3700.0,3600,DERA BASSI,100.0,30.6815,75.0867,14.395660400390625,15.753326416015625,12.922027587890625,11.650680541992188,29.239805221557617,2.6409785747528076
2017-12-11,248,Dhuri,Sangrur,Other,3500.0,3700.0,3600,DHURI,100.0,30.37,75.87,15.196441650390625,16.428131103515625,14.094390869140625,11.388961791992188,25.78515625,2.5562758445739746
2017-12-11,632,Faridkot,Faridkot,Onion,2850.0,3800.0,3500,FARIDKOT,100.0,30.6844,74.7555,14.607574462890625,16.085357666015625,13.216949462890625,11.441207885742188,24.007389068603516,2.4392340183258057
2017-12-11,229,Fazilka,Firozpur,Other,2800.0,3600.0,3200,FAZILKA,100.0,30.4036,74.0341,15.384429931640625,17.183013916015625,13.953277587890625,11.931442260742188,19.23796844482422,1.5686509609222412
2017-12-11,643,Giddarbaha,Muktsar,Onion,3300.0,3500.0,3400,GIDDARBAHA,90.0,30.2033,74.6611,15.158843994140625,16.899810791015625,13.595855712890625,12.192672729492188,29.195287704467773,2.9855895042419434
2017-12-11,1615,Khanauri,Sangrur,Other,950.0,1150.0,1050,KHANAURI,100.0,29.8308,76.1125,15.941070556640625,18.437896728515625,13.593902587890625,11.584762573242188,14.558377265930176,2.5142788887023926
2017-12-11,228,Kotkapura,Faridkot,Nasik,3500.0,4000.0,3700,KOTKAPURA,100.0,30.5845,74.8364,14.720367431640625,16.278717041015625,13.297027587890625,11.554489135742188,31.518386840820312,2.5254416465759277
2017-12-11,822,Lalru,Sahibzada Ajit Singh Nagar,Other,2000.0,2500.0,2250,LALRU,100.0,30.4898,76.8054,16.196929931640625,20.896881103515625,11.422027587890625,10.944137573242188,7.313887119293213,2.3136959075927734
2017-12-11,1598,Machhiwara,Ludhiana,Other,3000.0,3400.0,3400,MACHHIWARA,76.92307692307692,30.9083,76.1906,15.300933837890625,17.258209228515625,14.029449462890625,11.282028198242188,27.542987823486328,2.329129219055176
2017-12-11,242,Malout,Muktsar,Onion,3200.0,3500.0,3300,MALOUT,100.0,30.201,74.4964,15.327789306640625,17.222076416015625,13.711090087890625,12.288864135742188,30.850479125976562,2.877298355102539
2017-12-11,240,Moga,Moga,Other,1500.0,3700.0,2900,MOGA,100.0,30.8285,75.1568,14.170074462890625,15.415435791015625,12.713043212890625,11.464645385742188,32.44121551513672,2.720155715942383
2017-12-11,823,Morinda,Rupnagar,Other,3700.0,3900.0,3800,MORINDA,100.0,30.8978,76.404,15.452301025390625,18.111724853515625,13.209136962890625,11.299606323242188,15.554035186767578,2.194028377532959
