t,market_id,market_name,district_name,variety,p_min,p_max,p_modal
2017-12-11,623,Ajnala,Amritsar,Red,2000.0,2400.0,2200
2017-12-11,239,Baghapurana,Moga,Other,3500.0,4000.0,3800
2017-12-11,4439,Banur (Kheragaju),Sahibzada Ajit Singh Nagar,1st Sort,3000.0,4000.0,3200
2017-12-11,1574,Bhucho,Bathinda,Other,2500.0,3200.0,3000
2017-12-11,1611,Chamkaur Sahib,Rupnagar,Other,4000.0,4200.0,4100
2017-12-11,1751,Dera Bassi,Sahibzada Ajit Singh Nagar,Other,3500.0,3700.0,3600
2017-12-11,248,Dhuri,Sangrur,Other,3500.0,3700.0,3600
2017-12-11,632,Faridkot,Faridkot,Onion,2850.0,3800.0,3500
2017-12-11,229,Fazilka,Firozpur,Other,2800.0,3600.0,3200
2017-12-11,4444,GarhShankar (Kotfatuhi),Hoshiarpur,Other,3000.0,3500.0,3300
2017-12-11,643,Giddarbaha,Muktsar,Onion,3300.0,3500.0,3400
2017-12-11,1615,Khanauri,Sangrur,Other,950.0,1150.0,1050
2017-12-11,228,Kotkapura,Faridkot,Nasik,3500.0,4000.0,3700
2017-12-11,822,Lalru,Sahibzada Ajit Singh Nagar,Other,2000.0,2500.0,2250
2017-12-11,1598,Machhiwara,Ludhiana,Other,3000.0,3400.0,3400
2017-12-11,242,Malout,Muktsar,Onion,3200.0,3500.0,3300
2017-12-11,240,Moga,Moga,Other,1500.0,3700.0,2900
2017-12-11,823,Morinda,Rupnagar,Other,3700.0,3900.0,3800
2017-12-11,241,Muktsar,Muktsar,Nasik,2000.0,2800.0,2500
2017-12-11,243,Patiala,Patiala,Local,2500.0,3500.0,3000
2017-12-11,244,Patran,Patiala,Other,2700.0,3200.0,3000
2017-12-11,624,Patti,Tarn Taran,Other,2800.0,3500.0,3200
2017-12-11,638,Raikot,Ludhiana,Other,4000.0,4400.0,4200
2017-12-11,2890,Rampuraphul(Nabha Mandi),Bathinda,Other,200.0,250.0,220
2017-12-11,1588,Tanda Urmur,Hoshiarpur,Other,3500.0,4500.0,4200
2017-12-12,1589,Adampur,Jalandhar,Other,3000.0,3500.0,3500
2017-12-12,623,Ajnala,Amritsar,Red,2000.0,2200.0,2200
2017-12-12,239,Baghapurana,Moga,Other,3500.0,4000.0,3800
2017-12-12,1607,Balachaur,Shahid Bhagat Singh Nagar,Other,3400.0,3600.0,3500
2017-12-12,1608,Banga,Shahid Bhagat Singh Nagar,Other,2700.0,3500.0,3000
2017-12-12,4439,Banur (Kheragaju),Sahibzada Ajit Singh Nagar,1st Sort,3000.0,4000.0,3500
2017-12-12,1618,Bassi Pathana,Fatehgarh Sahib,Medium,3500.0,4000.0,3800
2017-12-12,233,Batala,Gurdaspur,Other,2700.0,3200.0,3000
2017-12-12,1732,Bhagta Bhai Ka,Bathinda,Other,3800.0,4120.0,4000
2017-12-12,1574,Bhucho,Bathinda,Other,2800.0,3500.0,3000
2017-12-12,1611,Chamkaur Sahib,Rupnagar,Other,3800.0,4000.0,3850
2017-12-12,1586,Dasuya,Hoshiarpur,Other,3000.0,3500.0,3500
2017-12-12,1751,Dera Bassi,Sahibzada Ajit Singh Nagar,Other,3500.0,3700.0,3600
2017-12-12,1602,Dharamkot,Moga,Other,4000.0,4000.0,4000
2017-12-12,248,Dhuri,Sangrur,Other,3400.0,3600.0,3500
2017-12-12,1582,Dinanagar,Gurdaspur,Other,3200.0,3500.0,3400
2017-12-12,632,Faridkot,Faridkot,Onion,3100.0,3600.0,3250
2017-12-12,229,Fazilka,Firozpur,Other,2800.0,3600.0,3200
2017-12-12,231,Ferozepur Cantt.,Firozpur,Onion,3900.0,4000.0,3950
2017-12-12,634,Firozepur City,Firozpur,Other,3000.0,3500.0,3250
2017-12-12,3106,Garh Shankar(Mahalpur),Hoshiarpur,Onion,3000.0,3800.0,3500
2017-12-12,4444,GarhShankar (Kotfatuhi),Hoshiarpur,Other,3000.0,3500.0,3200
2017-12-12,643,Giddarbaha,Muktsar,Onion,3000.0,3300.0,3200
2017-12-12,1591,Goraya,Jalandhar,Other,3000.0,3500.0,3000
2017-12-12,235,Guru Har Sahai,Firozpur,Onion,3000.0,3500.0,3500
2017-12-12,636,Hoshiarpur,Hoshiarpur,Other,2400.0,2800.0,2600
2017-12-12,238,Jagraon,Ludhiana,Other,3300.0,3500.0,3400
2017-12-12,2872,Jalandhar City(Jalandhar),Jalandhar,Other,1800.0,3300.0,2500
2017-12-12,1615,Khanauri,Sangrur,Other,950.0,1150.0,1050
2017-12-12,237,Khanna,Ludhiana,Other,2500.0,3500.0,3000
2017-12-12,228,Kotkapura,Faridkot,Nasik,3500.0,4000.0,3700
2017-12-12,822,Lalru,Sahibzada Ajit Singh Nagar,Other,2500.0,3000.0,2500
2017-12-12,1598,Machhiwara,Ludhiana,Other,3000.0,3400.0,3300
2017-12-12,249,Malerkotla,Sangrur,Other,3400.0,3700.0,3550
2017-12-12,242,Malout,Muktsar,Onion,2000.0,3600.0,3000
2017-12-12,1737,Mamdot,Firozpur,Other,4000.0,4100.0,4050
2017-12-12,240,Moga,Moga,Other,2000.0,3800.0,3200
2017-12-12,823,Morinda,Rupnagar,Other,3900.0,4100.0,4000
2017-12-12,241,Muktsar,Muktsar,Nasik,2000.0,2800.0,2500
2017-12-12,246,Nabha,Patiala,Other,2200.0,3200.0,2600
2017-12-12,2875,Nawan Shahar(Subzi Mandi),Shahid Bhagat Singh Nagar,Other,2500.0,3500.0,3100
2017-12-12,625,Pathankot,Gurdaspur,Other,2500.0,2800.0,2650
2017-12-12,244,Patran,Patiala,Other,2800.0,3300.0,3000
2017-12-12,624,Patti,Tarn Taran,Other,200.0,600.0,250
2017-12-12,640,Phagwara,Kapurthala,Other,3100.0,3690.0,3395
2017-12-12,3100,Phillaur(Apra Mandi),Jalandhar,Other,2400.0,2600.0,2500
2017-12-12,638,Raikot,Ludhiana,Other,3500.0,3800.0,3600
2017-12-12,631,Raman,Bathinda,Other,3400.0,3600.0,3550
2017-12-12,2890,Rampuraphul(Nabha Mandi),Bathinda,Other,190.0,250.0,200
2017-12-12,639,Samrala,Ludhiana,Other,2800.0,3200.0,3000
2017-12-12,1759,Sangrur,Sangrur,Onion,3500.0,3600.0,3500
2017-12-12,1181,Sirhind,Fatehgarh Sahib,Other,3700.0,4100.0,3900
2017-12-12,1581,Zira,Firozpur,Medium,1800.0,2500.0,2000
2017-12-13,1589,Adampur,Jalandhar,Other,3000.0,3500.0,3500
2017-12-13,623,Ajnala,Amritsar,Red,2000.0,2400.0,2200
2017-12-13,239,Baghapurana,Moga,Other,3500.0,4000.0,3800
2017-12-13,1607,Balachaur,Shahid Bhagat Singh Nagar,Other,3000.0,3400.0,3200
2017-12-13,1608,Banga,Shahid Bhagat Singh Nagar,Other,3200.0,3598.0,3500
2017-12-13,4439,Banur (Kheragaju),Sahibzada Ajit Singh Nagar,1st Sort,3000.0,4000.0,3200
2017-12-13,247,Barnala,Barnala,Other,3000.0,3500.0,3250
2017-12-13,1618,Bassi Pathana,Fatehgarh Sahib,Medium,3500.0,4200.0,4000
2017-12-13,233,Batala,Gurdaspur,Other,2800.0,3500.0,3100
2017-12-13,1574,Bhucho,Bathinda,Other,2800.0,3500.0,3000
2017-12-13,1611,Chamkaur Sahib,Rupnagar,Other,3500.0,4000.0,3550
2017-12-13,1586,Dasuya,Hoshiarpur,Other,3200.0,3500.0,3500
2017-12-13,1751,Dera Bassi,Sahibzada Ajit Singh Nagar,Other,3500.0,3900.0,3700
2017-12-13,1602,Dharamkot,Moga,Other,4000.0,4000.0,4000
2017-12-13,248,Dhuri,Sangrur,Other,3000.0,3700.0,3400
2017-12-13,1582,Dinanagar,Gurdaspur,Other,3200.0,3500.0,3400
2017-12-13,632,Faridkot,Faridkot,Onion,3000.0,3500.0,3250
2017-12-13,229,Fazilka,Firozpur,Other,2800.0,3600.0,3200
2017-12-13,231,Ferozepur Cantt.,Firozpur,Onion,3900.0,4000.0,3950
2017-12-13,634,Firozepur City,Firozpur,Other,3000.0,3500.0,3250
2017-12-13,643,Giddarbaha,Muktsar,Onion,3100.0,3300.0,3200
2017-12-13,1591,Goraya,Jalandhar,Other,3000.0,3500.0,3000
2017-12-13,626,Gurdaspur,Gurdaspur,Other,3500.0,4000.0,3750
2017-12-13,235,Guru Har Sahai,Firozpur,Onion,3000.0,3500.0,3500
2017-12-13,636,Hoshiarpur,Hoshiarpur,Other,2000.0,2600.0,2300
2017-12-13,238,Jagraon,Ludhiana,Other,3000.0,3450.0,3200
2017-12-13,2872,Jalandhar City(Jalandhar),Jalandhar,Other,1900.0,3300.0,2400
2017-12-13,1615,Khanauri,Sangrur,Other,950.0,1150.0,1050
2017-12-13,1598,Machhiwara,Ludhiana,Other,3000.0,3400.0,3200
2017-12-13,249,Malerkotla,Sangrur,Other,3400.0,3700.0,3550
2017-12-13,242,Malout,Muktsar,Onion,3500.0,4500.0,4200
2017-12-13,1737,Mamdot,Firozpur,Other,4100.0,4200.0,4150
2017-12-13,240,Moga,Moga,Other,2000.0,3800.0,3500
2017-12-13,823,Morinda,Rupnagar,Other,3900.0,4050.0,3930
2017-12-13,241,Muktsar,Muktsar,Nasik,1500.0,2800.0,2500
2017-12-13,2875,Nawan Shahar(Subzi Mandi),Shahid Bhagat Singh Nagar,Other,2500.0,3500.0,3120
2017-12-13,625,Pathankot,Gurdaspur,Other,2600.0,2800.0,2700
2017-12-13,243,Patiala,Patiala,Local,3000.0,4000.0,3500
2017-12-13,244,Patran,Patiala,Other,2700.0,3000.0,2800
2017-12-13,640,Phagwara,Kapurthala,Other,3200.0,3500.0,3350
2017-12-13,3100,Phillaur(Apra Mandi),Jalandhar,Other,2500.0,2700.0,2600
2017-12-13,638,Raikot,Ludhiana,Other,3600.0,3900.0,3800
2017-12-13,1610,Rajpura,Patiala,Local,3000.0,4000.0,3500
2017-12-13,631,Raman,Bathinda,Other,3350.0,3500.0,3450
