t,market_id,market_name,district_name,variety,p_min,p_max,p_modal,clean_market,match_score,latitude,longitude
2017-12-11,239,Baghapurana,Moga,Other,3500.0,4000.0,3800,BAGHAPURANA,95.65217391304348,30.6815,75.0867
2017-12-11,1574,Bhucho,Bathinda,Other,2500.0,3200.0,3000,BHUCHO,100.0,30.2109,75.0942
2017-12-11,1611,Chamkaur Sahib,Rupnagar,Other,4000.0,4200.0,4100,CHAMKAUR SAHIB,100.0,30.8978,76.404
2017-12-11,1751,Dera Bassi,Sahibzada Ajit Singh Nagar,Other,3500.0,3700.0,3600,DERA BASSI,100.0,30.6815,75.0867
2017-12-11,248,Dhuri,Sangrur,Other,3500.0,3700.0,3600,DHURI,100.0,30.37,75.87
2017-12-11,632,Faridkot,Faridkot,Onion,2850.0,3800.0,3500,FARIDKOT,100.0,30.6844,74.7555
2017-12-11,229,Fazilka,Firozpur,Other,2800.0,3600.0,3200,FAZILKA,100.0,30.4036,74.0341
2017-12-11,643,Giddarbaha,Muktsar,Onion,3300.0,3500.0,3400,GIDDARBAHA,90.0,30.2033,74.6611
2017-12-11,1615,Khanauri,Sangrur,Other,950.0,1150.0,1050,KHANAURI,100.0,29.8308,76.1125
2017-12-11,228,Kotkapura,Faridkot,Nasik,3500.0,4000.0,3700,KOTKAPURA,100.0,30.5845,74.8364
2017-12-11,822,Lalru,Sahibzada Ajit Singh Nagar,Other,2000.0,2500.0,2250,LALRU,100.0,30.4898,76.8054
2017-12-11,1598,Machhiwara,Ludhiana,Other,3000.0,3400.0,3400,MACHHIWARA,76.92307692307692,30.9083,76.1906
2017-12-11,242,Malout,Muktsar,Onion,3200.0,3500.0,3300,MALOUT,100.0,30.201,74.4964
2017-12-11,240,Moga,Moga,Other,1500.0,3700.0,2900,MOGA,100.0,30.8285,75.1568
2017-12-11,823,Morinda,Rupnagar,Other,3700.0,3900.0,3800,MORINDA,100.0,30.8978,76.404
2017-12-11,241,Muktsar,Muktsar,Nasik,2000.0,2800.0,2500,MUKTSAR,100.0,30.4721,74.5073
2017-12-11,243,Patiala,Patiala,Local,2500.0,3500.0,3000,PATIALA,100.0,30.2229,76.0863
2017-12-11,244,Patran,Patiala,Other,2700.0,3200.0,3000,PATRAN,100.0,29.9499,76.0564
2017-12-11,624,Patti,Tarn Taran,Other,2800.0,3500.0,3200,PATTI,100.0,31.2737,74.8493
2017-12-11,638,Raikot,Ludhiana,Other,4000.0,4400.0,4200,RAIKOT,100.0,30.6516,75.6049
2017-12-12,1589,Adampur,Jalandhar,Other,3000.0,3500.0,3500,ADAMPUR,100.0,31.4254,75.72
2017-12-12,239,Baghapurana,Moga,Other,3500.0,4000.0,3800,BAGHAPURANA,95.65217391304348,30.6815,75.0867
2017-12-12,1607,Balachaur,Shahid Bhagat Singh Nagar,Other,3400.0,3600.0,3500,BALACHAUR,100.0,31.0647,76.3078
2017-12-12,1608,Banga,Shahid Bhagat Singh Nagar,Other,2700.0,3500.0,3000,BANGA,100.0,31.1875,75.9828
2017-12-12,1618,Bassi Pathana,Fatehgarh Sahib,Medium,3500.0,4000.0,3800,BASSI PATHANA,100.0,30.67,76.43
2017-12-12,233,Batala,Gurdaspur,Other,2700.0,3200.0,3000,BATALA,100.0,31.8235,75.2051
2017-12-12,1732,Bhagta Bhai Ka,Bathinda,Other,3800.0,4120.0,4000,BHAGTA BHAI KA,100.0,30.4786,75.095
2017-12-12,1574,Bhucho,Bathinda,Other,2800.0,3500.0,3000,BHUCHO,100.0,30.2109,75.0942
2017-12-12,1611,Chamkaur Sahib,Rupnagar,Other,3800.0,4000.0,3850,CHAMKAUR SAHIB,100.0,30.8978,76.404
2017-12-12,1586,Dasuya,Hoshiarpur,Other,3000.0,3500.0,3500,DASUYA,100.0,31.8056,75.6626
2017-12-12,1751,Dera Bassi,Sahibzada Ajit Singh Nagar,Other,3500.0,3700.0,3600,DERA BASSI,100.0,30.6815,75.0867
2017-12-12,1602,Dharamkot,Moga,Other,4000.0,4000.0,4000,DHARAMKOT,100.0,30.9381,75.2304
2017-12-12,248,Dhuri,Sangrur,Other,3400.0,3600.0,3500,DHURI,100.0,30.37,75.87
2017-12-12,1582,Dinanagar,Gurdaspur,Other,3200.0,3500.0,3400,DINANAGAR,100.0,32.1347,75.4567
2017-12-12,632,Faridkot,Faridkot,Onion,3100.0,3600.0,3250,FARIDKOT,100.0,30.6844,74.7555
2017-12-12,229,Fazilka,Firozpur,Other,2800.0,3600.0,3200,FAZILKA,100.0,30.4036,74.0341
2017-12-12,231,Ferozepur Cantt.,Firozpur,Onion,3900.0,4000.0,3950,FEROZEPUR CANTT,100.0,30.9277,74.5968
2017-12-12,634,Firozepur City,Firozpur,Other,3000.0,3500.0,3250,FIROZEPUR CITY,92.85714285714286,30.9643,74.6262
2017-12-12,643,Giddarbaha,Muktsar,Onion,3000.0,3300.0,3200,GIDDARBAHA,90.0,30.2033,74.6611
2017-12-12,1591,Goraya,Jalandhar,Other,3000.0,3500.0,3000,GORAYA,100.0,31.128,75.5099
2017-12-12,235,Guru Har Sahai,Firozpur,Onion,3000.0,3500.0,3500,GURU HAR SAHAI,92.3076923076923,30.7128,74.3932
2017-12-12,636,Hoshiarpur,Hoshiarpur,Other,2400.0,2800.0,2600,HOSHIARPUR,95.23809523809524,31.5143,75.8951
2017-12-12,238,Jagraon,Ludhiana,Other,3300.0,3500.0,3400,JAGRAON,100.0,30.8047,75.4654
2017-12-12,1615,Khanauri,Sangrur,Other,950.0,1150.0,1050,KHANAURI,100.0,29.8308,76.1125
2017-12-12,237,Khanna,Ludhiana,Other,2500.0,3500.0,3000,KHANNA,100.0,30.7104,76.2141
2017-12-12,228,Kotkapura,Faridkot,Nasik,3500.0,4000.0,3700,KOTKAPURA,100.0,30.5845,74.8364
2017-12-12,822,Lalru,Sahibzada Ajit Singh Nagar,Other,2500.0,3000.0,2500,LALRU,100.0,30.4898,76.8054
2017-12-12,1598,Machhiwara,Ludhiana,Other,3000.0,3400.0,3300,MACHHIWARA,76.92307692307692,30.9083,76.1906
2017-12-12,249,Malerkotla,Sangrur,Other,3400.0,3700.0,3550,MALERKOTLA,100.0,30.5177,75.8843
2017-12-12,242,Malout,Muktsar,Onion,2000.0,3600.0,3000,MALOUT,100.0,30.201,74.4964
2017-12-12,1737,Mamdot,Firozpur,Other,4000.0,4100.0,4050,MAMDOT,100.0,30.5215,74.2618
2017-12-12,240,Moga,Moga,Other,2000.0,3800.0,3200,MOGA,100.0,30.8285,75.1568
2017-12-12,823,Morinda,Rupnagar,Other,3900.0,4100.0,4000,MORINDA,100.0,30.8978,76.404
2017-12-12,241,Muktsar,Muktsar,Nasik,2000.0,2800.0,2500,MUKTSAR,100.0,30.4721,74.5073
2017-12-12,246,Nabha,Patiala,Other,2200.0,3200.0,2600,NABHA,100.0,30.3738,76.1394
2017-12-12,625,Pathankot,Gurdaspur,Other,2500.0,2800.0,2650,PATHANKOT,100.0,32.26,75.6377
2017-12-12,244,Patran,Patiala,Other,2800.0,3300.0,3000,PATRAN,100.0,29.9499,76.0564
2017-12-12,624,Patti,Tarn Taran,Other,200.0,600.0,250,PATTI,100.0,31.2737,74.8493
2017-12-12,640,Phagwara,Kapurthala,Other,3100.0,3690.0,3395,PHAGWARA,100.0,31.2354,75.7756
2017-12-12,3100,Phillaur(Apra Mandi),Jalandhar,Other,2400.0,2600.0,2500,PHILLAURAPRA,80.0,31.128,75.5099
2017-12-12,638,Raikot,Ludhiana,Other,3500.0,3800.0,3600,RAIKOT,100.0,30.6516,75.6049
2017-12-12,631,Raman,Bathinda,Other,3400.0,3600.0,3550,RAMAN,100.0,29.9602,74.9686
2017-12-12,639,Samrala,Ludhiana,Other,2800.0,3200.0,3000,SAMRALA,100.0,30.8269,76.186
2017-12-12,1759,Sangrur,Sangrur,Onion,3500.0,3600.0,3500,SANGRUR,100.0,30.2439,75.835
2017-12-12,1581,Zira,Firozpur,Medium,1800.0,2500.0,2000,ZIRA,100.0,30.5738,74.5901
2017-12-13,1589,Adampur,Jalandhar,Other,3000.0,3500.0,3500,ADAMPUR,100.0,31.4254,75.72
2017-12-13,239,Baghapurana,Moga,Other,3500.0,4000.0,3800,BAGHAPURANA,95.65217391304348,30.6815,75.0867
2017-12-13,1607,Balachaur,Shahid Bhagat Singh Nagar,Other,3000.0,3400.0,3200,BALACHAUR,100.0,31.0647,76.3078
2017-12-13,1608,Banga,Shahid Bhagat Singh Nagar,Other,3200.0,3598.0,3500,BANGA,100.0,31.1875,75.9828
2017-12-13,247,Barnala,Barnala,Other,3000.0,3500.0,3250,BARNALA,100.0,30.3732,75.5351
2017-12-13,1618,Bassi Pathana,Fatehgarh Sahib,Medium,3500.0,4200.0,4000,BASSI PATHANA,100.0,30.67,76.43
2017-12-13,233,Batala,Gurdaspur,Other,2800.0,3500.0,3100,BATALA,100.0,31.8235,75.2051
2017-12-13,1574,Bhucho,Bathinda,Other,2800.0,3500.0,3000,BHUCHO,100.0,30.2109,75.0942
2017-12-13,1611,Chamkaur Sahib,Rupnagar,Other,3500.0,4000.0,3550,CHAMKAUR SAHIB,100.0,30.8978,76.404
2017-12-13,1586,Dasuya,Hoshiarpur,Other,3200.0,3500.0,3500,DASUYA,100.0,31.8056,75.6626
2017-12-13,1751,Dera Bassi,Sahibzada Ajit Singh Nagar,Other,3500.0,3900.0,3700,DERA BASSI,100.0,30.6815,75.0867
2017-12-13,1602,Dharamkot,Moga,Other,4000.0,4000.0,4000,DHARAMKOT,100.0,30.9381,75.2304
2017-12-13,248,Dhuri,Sangrur,Other,3000.0,3700.0,3400,DHURI,100.0,30.37,75.87
2017-12-13,1582,Dinanagar,Gurdaspur,Other,3200.0,3500.0,3400,DINANAGAR,100.0,32.1347,75.4567
2017-12-13,632,Faridkot,Faridkot,Onion,3000.0,3500.0,3250,FARIDKOT,100.0,30.6844,74.7555
2017-12-13,229,Fazilka,Firozpur,Other,2800.0,3600.0,3200,FAZILKA,100.0,30.4036,74.0341
2017-12-13,231,Ferozepur Cantt.,Firozpur,Onion,3900.0,4000.0,3950,FEROZEPUR CANTT,100.0,30.9277,74.5968
2017-12-13,634,Firozepur City,Firozpur,Other,3000.0,3500.0,3250,FIROZEPUR CITY,92.85714285714286,30.9643,74.6262
2017-12-13,643,Giddarbaha,Muktsar,Onion,3100.0,3300.0,3200,GIDDARBAHA,90.0,30.2033,74.6611
2017-12-13,1591,Goraya,Jalandhar,Other,3000.0,3500.0,3000,GORAYA,100.0,31.128,75.5099
2017-12-13,626,Gurdaspur,Gurdaspur,Other,3500.0,4000.0,3750,GURDASPUR,100.0,32.05,75.4326
2017-12-13,235,Guru Har Sahai,Firozpur,Onion,3000.0,3500.0,3500,GURU HAR SAHAI,92.3076923076923,30.7128,74.3932
2017-12-13,636,Hoshiarpur,Hoshiarpur,Other,2000.0,2600.0,2300,HOSHIARPUR,95.23809523809524,31.5143,75.8951
2017-12-13,238,Jagraon,Ludhiana,Other,3000.0,3450.0,3200,JAGRAON,100.0,30.8047,75.4654
2017-12-13,1615,Khanauri,Sangrur,Other,950.0,1150.0,1050,KHANAURI,100.0,29.8308,76.1125
2017-12-13,1598,Machhiwara,Ludhiana,Other,3000.0,3400.0,3200,MACHHIWARA,76.92307692307692,30.9083,76.1906
2017-12-13,249,Malerkotla,Sangrur,Other,3400.0,3700.0,3550,MALERKOTLA,100.0,30.5177,75.8843
2017-12-13,242,Malout,Muktsar,Onion,3500.0,4500.0,4200,MALOUT,100.0,30.201,74.4964
2017-12-13,1737,Mamdot,Firozpur,Other,4100.0,4200.0,4150,MAMDOT,100.0,30.5215,74.2618
2017-12-13,240,Moga,Moga,Other,2000.0,3800.0,3500,MOGA,100.0,30.8285,75.1568
2017-12-13,823,Morinda,Rupnagar,Other,3900.0,4050.0,3930,MORINDA,100.0,30.8978,76.404
2017-12-13,241,Muktsar,Muktsar,Nasik,1500.0,2800.0,2500,MUKTSAR,100.0,30.4721,74.5073
2017-12-13,625,Pathankot,Gurdaspur,Other,2600.0,2800.0,2700,PATHANKOT,100.0,32.26,75.6377
2017-12-13,243,Patiala,Patiala,Local,3000.0,4000.0,3500,PATIALA,100.0,30.2229,76.0863
2017-12-13,244,Patran,Patiala,Other,2700.0,3000.0,2800,PATRAN,100.0,29.9499,76.0564
2017-12-13,640,Phagwara,Kapurthala,Other,3200.0,3500.0,3350,PHAGWARA,100.0,31.2354,75.7756
