date,district,market,commodity,variety,min_price,max_price,modal_price
2022-01-01,Dhule,Dhule,Onion,Red,100,1810,1400.0
2022-01-01,Nashik,Yeola,Onion,Red,300,2239,1600.0
2022-01-01,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,400,2075,1551.0
2022-01-01,Nashik,Kalvan,Onion,Other,400,2400,1700.0
2022-01-01,Satara,Satara,Onion,Other,1000,3800,2400.0
2022-01-01,Nashik,Chandvad,Onion,Red,1000,2307,1950.0
2022-01-01,Mumbai,Vashi New Mumbai,Onion,Other,1800,3500,2650.0
2022-01-01,Nashik,Lasalgaon,Onion,Red,700,2355,2001.0
2022-01-01,Nashik,Pimpalgaon,Onion,Pole,300,2540,1751.0
2022-01-01,Nashik,Sinner,Onion,Red,500,2275,1900.0
2022-01-01,Kolhapur,Kolhapur,Onion,Other,700,3600,1600.0
2022-01-01,Dharashiv(Usmanabad),Dharashiv,Onion,Red,600,1500,1050.0
2022-01-01,Nashik,Nasik,Onion,Other,800,2500,1900.0
2022-01-01,Nagpur,Nagpur,Onion,White,1800,2400,2250.0
2022-01-01,Pune,Pune(Pimpri),Onion,Local,1000,1600,1300.0
2022-01-01,Jalgaon,Jalgaon,Onion,Red,625,2100,1500.0
2022-01-01,Nashik,Lasalgaon(Niphad),Onion,Red,800,2100,1900.0
2022-01-01,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,150,2000,1075.0
2022-01-01,Kolhapur,Vadgaonpeth,Onion,Local,1200,1800,1400.0
2022-01-01,Pune,Khed(Chakan),Onion,Other,1000,3000,2000.0
2022-01-01,Sangli,"Sangli(Phale, Bhajipura Market)",Onion,Local,500,3700,2100.0
2022-01-01,Pune,Pune(Moshi),Onion,Local,500,1300,900.0
2022-01-01,Satara,Karad,Onion,Other,500,2600,2600.0
2022-01-01,Chattrapati Sambhajinagar,Vaijpur,Onion,Red,1000,2500,1950.0
2022-01-01,Sholapur,Solapur,Onion,Red,100,3800,1500.0
2022-01-01,Ahmednagar,Ahmednagar,Onion,Red,500,3000,2100.0
2022-01-01,Ahmednagar,Jamkhed,Onion,Local,100,3100,1600.0
2022-01-01,Nashik,Manmad,Onion,Red,200,2330,1900.0
2022-01-01,Pune,Pune(Khadiki),Onion,Local,1200,1500,1350.0
2022-01-01,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,800,2200,1500.0
2022-01-01,Nashik,Lasalgaon(Vinchur),Onion,Red,1000,2425,2050.0
2022-01-01,Nashik,Dindori(Vani),Onion,Red,1300,2480,1850.0
2022-01-01,Pune,Pune(Manjri),Onion,Local,1100,1700,1300.0
2022-01-01,Nandurbar,Navapur,Onion,Other,1000,1500,1167.0
2022-01-01,Nashik,Nasik,Onion,Pole,700,2300,1800.0
2022-01-01,Ahmednagar,Kopargaon,Onion,Other,700,2400,1895.0
2022-01-01,Ahmednagar,Kopargaon,Onion,Red,700,2275,1950.0
2022-01-01,Nagpur,Nagpur,Onion,Red,1800,2400,2250.0
2022-01-01,Sholapur,Pandharpur,Onion,Red,200,3398,1500.0
