date,district,market,commodity,variety,min_price,max_price,modal_price,lat,lon,RAINFALL
2024-01-01,Nashik,Chandvad,Onion,Red,1000,2165,2050.0,20.0,74.0,0.0
2024-01-01,Nashik,Devala,Onion,Red,350,2170,1950.0,20.0,74.0,0.0
2024-01-01,Pune,Pune(Manjri),Onion,Local,2200,3300,2600.0,18.5,73.8,0.0
2024-01-01,Nashik,Umrane,Onion,Red,701,2150,1901.0,20.0,74.0,0.0
2024-01-01,Nashik,Pimpalgaon,Onion,Pole,850,2027,1801.0,20.0,74.0,0.0
2024-01-01,Nashik,Nampur,Onion,Red,100,2165,1900.0,20.0,74.0,0.0
2024-01-01,Ahmednagar,Shrigonda,Onion,Other,300,2200,1800.0,19.1,74.7,0.0
2024-01-01,Pune,Junnar(Narayangaon),Onion,Other,500,2000,1500.0,18.5,73.8,0.0
2024-01-01,Nashik,Devala,Onion,Other,500,1930,1650.0,20.0,74.0,0.0
2024-01-01,Nashik,Lasalgaon,Onion,Red,911,2024,1925.0,20.0,74.0,0.0
2024-01-01,Nashik,Yeola,Onion,Red,500,1999,1800.0,20.0,74.0,0.0
2024-01-01,Ahmednagar,Rahuri(Vambori),Onion,Red,200,2300,1500.0,19.1,74.7,0.0
2024-01-01,Satara,Karad,Onion,Other,600,2000,2000.0,17.7,74.0,0.0
2024-01-01,Jalgaon,Jalgaon,Onion,Red,675,1800,1175.0,21.0,75.5,0.0
2024-01-01,Pune,Pune,Onion,Local,800,2500,1650.0,18.5,73.8,0.0
2024-01-01,Nashik,Lasalgaon(Niphad),Onion,Red,1112,2031,1950.0,20.0,74.0,0.0
2024-01-01,Jalgaon,Jalgaon,Onion,White,725,2000,1262.0,21.0,75.5,0.0
2024-01-01,Nashik,Satana,Onion,Other,695,2465,1895.0,20.0,74.0,0.0
2024-01-01,Nashik,Lasalgaon(Vinchur),Onion,Red,900,2152,1950.0,20.0,74.0,0.0
2024-01-01,Nashik,Satana,Onion,Red,230,2130,1750.0,20.0,74.0,0.0
2024-01-01,Satara,Satara,Onion,Other,1500,3500,2500.0,17.7,74.0,0.0
2024-01-01,Pune,Pune(Khadiki),Onion,Local,1800,2500,2150.0,18.5,73.8,0.0
2024-01-01,Dhule,Sakri,Onion,Red,950,1875,1600.0,20.9,74.8,0.0
2024-01-01,Nashik,Umrane,Onion,Other,501,1850,1400.0,20.0,74.0,0.0
2024-01-01,Nashik,Kalvan,Onion,Red,800,2280,1300.0,20.0,74.0,0.0
2024-01-01,Ahmednagar,Sangamner,Onion,Red,300,2500,1400.0,19.1,74.7,0.0
2024-01-01,Satara,Lonand,Onion,Red,450,2190,1500.0,17.7,74.0,0.0
2024-01-01,Ahmednagar,Newasa(Ghodegaon),Onion,Red,800,2200,1800.0,19.1,74.7,0.0
2024-01-01,Pune,Pune(Moshi),Onion,Local,700,2500,1600.0,18.5,73.8,0.0
