state,district,market
,,
Andhra Pradesh,Anantapur,Anantapur APMC
Andhra Pradesh,Anantapur,Dharmavaram APMC
Andhra Pradesh,Anantapur,Gooti APMC
Andhra Pradesh,Anantapur,Guntakal APMC
Andhra Pradesh,Anantapur,Hindupur APMC
Andhra Pradesh,Anantapur,Kadiri APMC
Andhra Pradesh,Anantapur,Kalyandurg APMC
Andhra Pradesh,Anantapur,Madakasira APMC
Andhra Pradesh,Anantapur,"P. Ramacharyulu Park,RBZ APMC"
Andhra Pradesh,Anantapur,Penukonda APMC
Andhra Pradesh,Anantapur,RAYADURG APMC
Andhra Pradesh,Anantapur,Rapthadu APMC
Andhra Pradesh,Anantapur,Singanamala APMC
Andhra Pradesh,Anantapur,Tadipatri APMC
Andhra Pradesh,Anantapur,Tenakallu APMC
Andhra Pradesh,Anantapur,Urvakonda APMC
Andhra Pradesh,Chittor,Bangarupalyam APMC
Andhra Pradesh,Chittor,Chittoor APMC
Andhra Pradesh,Chittor,Chittor(Rythu Bazar) APMC
Andhra Pradesh,Chittor,Kalikiri APMC
Andhra Pradesh,Chittor,Kuppam APMC
Andhra Pradesh,Chittor,Madanapalli APMC
Andhra Pradesh,Chittor,Mulakalacheruvu APMC
Andhra Pradesh,Chittor,Nagalapuram APMC
Andhra Pradesh,Chittor,Nagari APMC
Andhra Pradesh,Chittor,Pakala APMC
Andhra Pradesh,Chittor,Palamaner APMC
Andhra Pradesh,Chittor,Penumuru APMC
Andhra Pradesh,Chittor,Piler APMC
Andhra Pradesh,Chittor,Punganur APMC
Andhra Pradesh,Chittor,Puttur APMC
Andhra Pradesh,Chittor,Rompicherla APMC
Andhra Pradesh,Chittor,S.R.Puram APMC
Andhra Pradesh,Chittor,Somala APMC
Andhra Pradesh,Chittor,Srikalahasti APMC
Andhra Pradesh,Chittor,Thambalapalli APMC
Andhra Pradesh,Chittor,Thottambedu APMC
Andhra Pradesh,Chittor,Tirupati APMC
Andhra Pradesh,Chittor,V.Kota Mkt.Yard APMC
Andhra Pradesh,Chittor,Vayalapadu APMC
Andhra Pradesh,Chittor,Vepanjari APMC
Andhra Pradesh,Cuddapah,Badvel APMC
Andhra Pradesh,Cuddapah,Cuddapah APMC
Andhra Pradesh,Cuddapah,Jammalamadugu APMC
Andhra Pradesh,Cuddapah,Kamalapuram APMC
Andhra Pradesh,Cuddapah,Koduru APMC
Andhra Pradesh,Cuddapah,Lakkireddipally APMC
Andhra Pradesh,Cuddapah,Mydukur APMC
Andhra Pradesh,Cuddapah,Proddatur APMC
Andhra Pradesh,Cuddapah,"Proddatur,RBZ APMC"
Andhra Pradesh,Cuddapah,Pulivendala APMC
Andhra Pradesh,Cuddapah,Rajampet APMC
Andhra Pradesh,Cuddapah,Rayachoti APMC
Andhra Pradesh,Cuddapah,Siddavatam APMC
Andhra Pradesh,Cuddapah,Siddout APMC
Andhra Pradesh,Cuddapah,Simhadhripuram APMC
