state,district,market,query_address,reason
Andhra Pradesh,Chittor,Piler APMC,"Andhra Pradesh, Chittor, Piler APMC mandi",geoapify_failed
Andhra Pradesh,Chittor,Rompicherla APMC,"Andhra Pradesh, Chittor, Rompicherla APMC mandi",geoapify_failed
Andhra Pradesh,East Godavari,Prattipadu APMC,"Andhra Pradesh, East Godavari, Prattipadu APMC mandi",geoapify_failed
Andhra Pradesh,East Godavari,"Rajahmundry(Nataraj),RBZ APMC","Andhra Pradesh, East Godavari, Rajahmundry(Nataraj),RBZ APMC mandi",geoapify_failed
Andhra Pradesh,East Godavari,Ravulapelem APMC,"Andhra Pradesh, East Godavari, Ravulapelem APMC mandi",geoapify_failed
Andhra Pradesh,East Godavari,Samalkot APMC,"Andhra Pradesh, East Godavari, Samalkot APMC mandi",geoapify_failed
Andhra Pradesh,Guntur,"CSMLS Point, ,RBZ,Guntur APMC","Andhra Pradesh, Guntur, CSMLS Point, ,RBZ,Guntur APMC mandi",geoapify_failed
Andhra Pradesh,Guntur,Phirangipuram APMC,"Andhra Pradesh, Guntur, Phirangipuram APMC mandi",geoapify_failed
Andhra Pradesh,Krishna,Tiruvuru APMC,"Andhra Pradesh, Krishna, Tiruvuru APMC mandi",geoapify_failed
Andhra Pradesh,Krishna,Vijayawada APMC,"Andhra Pradesh, Krishna, Vijayawada APMC mandi",geoapify_failed
Andhra Pradesh,Kurnool,Adoni APMC,"Andhra Pradesh, Kurnool, Adoni APMC mandi",geoapify_failed
Andhra Pradesh,Kurnool,Alur APMC,"Andhra Pradesh, Kurnool, Alur APMC mandi",geoapify_failed
Andhra Pradesh,Kurnool,Banaganapalli APMC,"Andhra Pradesh, Kurnool, Banaganapalli APMC mandi",geoapify_failed
Andhra Pradesh,Kurnool,Kurnool APMC,"Andhra Pradesh, Kurnool, Kurnool APMC mandi",geoapify_failed
Andhra Pradesh,Kurnool,Mantralayam APMC,"Andhra Pradesh, Kurnool, Mantralayam APMC mandi",geoapify_failed
Andhra Pradesh,Srikakulam,Kanchili APMC,"Andhra Pradesh, Srikakulam, Kanchili APMC mandi",geoapify_failed
Andhra Pradesh,Srikakulam,Palasa APMC,"Andhra Pradesh, Srikakulam, Palasa APMC mandi",geoapify_failed
Andhra Pradesh,Srikakulam,Sompeta APMC,"Andhra Pradesh, Srikakulam, Sompeta APMC mandi",geoapify_failed
Andhra Pradesh,Vijayanagaram,"Old Maharaj Hospital,RBZ,Vizianagaram APMC","Andhra Pradesh, Vijayanagaram, Old Maharaj Hospital,RBZ,Vizianagaram APMC mandi",geoapify_failed
Andhra Pradesh,Visakhapatnam,"Gopala Patnam Cent.,RBZ,Visakhapatnam APMC","Andhra Pradesh, Visakhapatnam, Gopala Patnam Cent.,RBZ,Visakhapatnam APMC mandi",geoapify_failed
Andhra Pradesh,Visakhapatnam,"Kancharlapalem,RBZ APMC","Andhra Pradesh, Visakhapatnam, Kancharlapalem,RBZ APMC mandi",geoapify_failed
Andhra Pradesh,Visakhapatnam,"M.V.P.Colony,RBZ,Visakhapatnam APMC","Andhra Pradesh, Visakhapatnam, M.V.P.Colony,RBZ,Visakhapatnam APMC mandi",geoapify_failed
Andhra Pradesh,Visakhapatnam,"Marripalem,RBZ,Visakhapatnam APMC","Andhra Pradesh, Visakhapatnam, Marripalem,RBZ,Visakhapatnam APMC mandi",geoapify_failed
Andhra Pradesh,Visakhapatnam,"Mulagada,Visakhapatnam APMC","Andhra Pradesh, Visakhapatnam, Mulagada,Visakhapatnam APMC mandi",geoapify_failed
Andhra Pradesh,West Godavari,Attili APMC,"Andhra Pradesh, West Godavari, Attili APMC mandi",geoapify_failed
Andhra Pradesh,West Godavari,Bhimavaram APMC,"Andhra Pradesh, West Godavari, Bhimavaram APMC mandi",geoapify_failed
Andhra Pradesh,West Godavari,"Eluru-II,RBZ APMC","Andhra Pradesh, West Godavari, Eluru-II,RBZ APMC mandi",geoapify_failed
Arunachal Pradesh,Changlang,Miao APMC,"Arunachal Pradesh, Changlang, Miao APMC mandi",geoapify_failed
Arunachal Pradesh,East Siang,Pasighat APMC,"Arunachal Pradesh, East Siang, Pasighat APMC mandi",geoapify_failed
Arunachal Pradesh,Papum Pore,Kurung Kumey APMC,"Arunachal Pradesh, Papum Pore, Kurung Kumey APMC mandi",geoapify_failed
Arunachal Pradesh,West Kameng,Bomdila APMC,"Arunachal Pradesh, West Kameng, Bomdila APMC mandi",geoapify_failed
Arunachal Pradesh,West Siang,Along APMC,"Arunachal Pradesh, West Siang, Along APMC mandi",geoapify_failed
Assam,Sribhumi,Banga Bazaar APMC,"Assam, Sribhumi, Banga Bazaar APMC mandi",geoapify_failed
Assam,Hojai,Gandhimaidan APMC,"Assam, Hojai, Gandhimaidan APMC mandi",geoapify_failed
Assam,Barpeta,Alupatty Char APMC,"Assam, Barpeta, Alupatty Char APMC mandi",geoapify_failed
Assam,Barpeta,Barpeta Road APMC,"Assam, Barpeta, Barpeta Road APMC mandi",geoapify_failed
Assam,Barpeta,Howly APMC,"Assam, Barpeta, Howly APMC mandi",geoapify_failed
Assam,Barpeta,Mandia APMC,"Assam, Barpeta, Mandia APMC mandi",geoapify_failed
Assam,Cachar,Bhaga APMC,"Assam, Cachar, Bhaga APMC mandi",geoapify_failed
Assam,Cachar,Fatakbazar APMC,"Assam, Cachar, Fatakbazar APMC mandi",geoapify_failed
Assam,Cachar,Kashipur APMC,"Assam, Cachar, Kashipur APMC mandi",geoapify_failed
Assam,Cachar,Koroikandi APMC,"Assam, Cachar, Koroikandi APMC mandi",geoapify_failed
Assam,Darrang,Banglagarh APMC,"Assam, Darrang, Banglagarh APMC mandi",geoapify_failed
Assam,Darrang,Tangni APMC,"Assam, Darrang, Tangni APMC mandi",geoapify_failed
Assam,Dhemaji,Dhemaji APMC,"Assam, Dhemaji, Dhemaji APMC mandi",geoapify_failed
Assam,Dhubri,Chapar APMC,"Assam, Dhubri, Chapar APMC mandi",geoapify_failed
Assam,Goalpara,Lakhipur APMC,"Assam, Goalpara, Lakhipur APMC mandi",geoapify_failed
Assam,Golaghat,Gomariguri APMC,"Assam, Golaghat, Gomariguri APMC mandi",geoapify_failed
Assam,Jorhat,Mariani APMC,"Assam, Jorhat, Mariani APMC mandi",geoapify_failed
Assam,Kamrup,Rangia Sub-Divisional Market Committee APMC,"Assam, Kamrup, Rangia Sub-Divisional Market Committee APMC mandi",geoapify_failed
Assam,Kamrup,Sontoli APMC,"Assam, Kamrup, Sontoli APMC mandi",geoapify_failed
Assam,Kokrajhar,Dotma Bazar APMC,"Assam, Kokrajhar, Dotma Bazar APMC mandi",geoapify_failed
Assam,Lakhimpur,Kakoi Weekly Market APMC,"Assam, Lakhimpur, Kakoi Weekly Market APMC mandi",geoapify_failed
Assam,Nalbari,Nalbari APMC,"Assam, Nalbari, Nalbari APMC mandi",geoapify_failed
Assam,Sibsagar,Moran APMC,"Assam, Sibsagar, Moran APMC mandi",geoapify_failed
Assam,Sonitpur,Mission Chariali APMC,"Assam, Sonitpur, Mission Chariali APMC mandi",geoapify_failed
Bihar,Araria,Forbesganj APMC,"Bihar, Araria, Forbesganj APMC mandi",geoapify_failed
Bihar,Arwal,Arwal APMC,"Bihar, Arwal, Arwal APMC mandi",geoapify_failed
Bihar,Bhagalpur,Bhagalpur APMC,"Bihar, Bhagalpur, Bhagalpur APMC mandi",geoapify_failed
Bihar,Bhagalpur,Kahalgaon APMC,"Bihar, Bhagalpur, Kahalgaon APMC mandi",geoapify_failed
Bihar,Bhagalpur,Naugachiya APMC,"Bihar, Bhagalpur, Naugachiya APMC mandi",geoapify_failed
Bihar,Bhojpur,Piro APMC,"Bihar, Bhojpur, Piro APMC mandi",geoapify_failed
Bihar,Buxar,Brahmpur APMC,"Bihar, Buxar, Brahmpur APMC mandi",geoapify_failed
Bihar,Buxar,Dumarao APMC,"Bihar, Buxar, Dumarao APMC mandi",geoapify_failed
Bihar,Madhepura,Singheswarsthan APMC,"Bihar, Madhepura, Singheswarsthan APMC mandi",geoapify_failed
Bihar,Madhubani,Jainagar APMC,"Bihar, Madhubani, Jainagar APMC mandi",geoapify_failed
Bihar,Madhubani,Madhubani APMC,"Bihar, Madhubani, Madhubani APMC mandi",geoapify_failed
Bihar,Purnea,Gulabbagh APMC,"Bihar, Purnea, Gulabbagh APMC mandi",geoapify_failed
Bihar,Purnea,Kaswa APMC,"Bihar, Purnea, Kaswa APMC mandi",geoapify_failed
Bihar,Rohtas,Dehri APMC,"Bihar, Rohtas, Dehri APMC mandi",geoapify_failed
Bihar,Rohtas,Sasaram APMC,"Bihar, Rohtas, Sasaram APMC mandi",geoapify_failed
Bihar,Saharsa,Saharsa APMC,"Bihar, Saharsa, Saharsa APMC mandi",geoapify_failed
Bihar,Samastipur,Tajpur APMC,"Bihar, Samastipur, Tajpur APMC mandi",geoapify_failed
Bihar,Sitamarhi,Sitamarhi APMC,"Bihar, Sitamarhi, Sitamarhi APMC mandi",geoapify_failed
Bihar,Vaishali,"Parsoniya Mandi, Mahua block APMC","Bihar, Vaishali, Parsoniya Mandi, Mahua block APMC mandi",geoapify_failed
Chattisgarh,Balod,Balod APMC,"Chattisgarh, Balod, Balod APMC mandi",geoapify_failed
Chattisgarh,Balod,Dondi APMC,"Chattisgarh, Balod, Dondi APMC mandi",geoapify_failed
Chattisgarh,Balod,Dondilohara APMC,"Chattisgarh, Balod, Dondilohara APMC mandi",geoapify_failed
Chattisgarh,Balod,Gurur APMC,"Chattisgarh, Balod, Gurur APMC mandi",geoapify_failed
Chattisgarh,Balodabazar,Balodabazar APMC,"Chattisgarh, Balodabazar, Balodabazar APMC mandi",geoapify_failed
Chattisgarh,Balodabazar,Kasdol APMC,"Chattisgarh, Balodabazar, Kasdol APMC mandi",geoapify_failed
Chattisgarh,Balodabazar,Palari APMC,"Chattisgarh, Balodabazar, Palari APMC mandi",geoapify_failed
Chattisgarh,Balodabazar,Pangaon APMC,"Chattisgarh, Balodabazar, Pangaon APMC mandi",geoapify_failed
Chattisgarh,Balodabazar,Sarsiwan APMC,"Chattisgarh, Balodabazar, Sarsiwan APMC mandi",geoapify_failed
Chattisgarh,Balodabazar,Simga APMC,"Chattisgarh, Balodabazar, Simga APMC mandi",geoapify_failed
Chattisgarh,Balrampur,Rajpur APMC,"Chattisgarh, Balrampur, Rajpur APMC mandi",geoapify_failed
Chattisgarh,Bastar,Bastar APMC,"Chattisgarh, Bastar, Bastar APMC mandi",geoapify_failed
Chattisgarh,Bastar,Devda APMC,"Chattisgarh, Bastar, Devda APMC mandi",geoapify_failed
Chattisgarh,Bastar,Jaitgiri APMC,"Chattisgarh, Bastar, Jaitgiri APMC mandi",geoapify_failed
Chattisgarh,Bastar,Karpawand APMC,"Chattisgarh, Bastar, Karpawand APMC mandi",geoapify_failed
Chattisgarh,Bastar,Lohandiguda APMC,"Chattisgarh, Bastar, Lohandiguda APMC mandi",geoapify_failed
Chattisgarh,Bastar,Muli APMC,"Chattisgarh, Bastar, Muli APMC mandi",geoapify_failed
Chattisgarh,Bastar,Tokapal APMC,"Chattisgarh, Bastar, Tokapal APMC mandi",geoapify_failed
Chattisgarh,Bemetara,Bemetara APMC,"Chattisgarh, Bemetara, Bemetara APMC mandi",geoapify_failed
Chattisgarh,Bemetara,Bemetara(Navagarh) APMC,"Chattisgarh, Bemetara, Bemetara(Navagarh) APMC mandi",geoapify_failed
Chattisgarh,Bemetara,Bemetara(Thankhamaria) APMC,"Chattisgarh, Bemetara, Bemetara(Thankhamaria) APMC mandi",geoapify_failed
Chattisgarh,Bemetara,Berla APMC,"Chattisgarh, Bemetara, Berla APMC mandi",geoapify_failed
Chattisgarh,Bemetara,Dadhi APMC,"Chattisgarh, Bemetara, Dadhi APMC mandi",geoapify_failed
Chattisgarh,Bemetara,Saja APMC,"Chattisgarh, Bemetara, Saja APMC mandi",geoapify_failed
Chattisgarh,Bijapur,Bhopalpattnam APMC,"Chattisgarh, Bijapur, Bhopalpattnam APMC mandi",geoapify_failed
Chattisgarh,Bilaspur,Bilaspur APMC,"Chattisgarh, Bilaspur, Bilaspur APMC mandi",geoapify_failed
Chattisgarh,Bilaspur,Sakri APMC,"Chattisgarh, Bilaspur, Sakri APMC mandi",geoapify_failed
Chattisgarh,Dantewada,Gidam APMC,"Chattisgarh, Dantewada, Gidam APMC mandi",geoapify_failed
Chattisgarh,Durg,Ahivara APMC,"Chattisgarh, Durg, Ahivara APMC mandi",geoapify_failed
Chattisgarh,Durg,Dhamdha APMC,"Chattisgarh, Durg, Dhamdha APMC mandi",geoapify_failed
Chattisgarh,Durg,Durg APMC,"Chattisgarh, Durg, Durg APMC mandi",geoapify_failed
Chattisgarh,Durg,Patan APMC,"Chattisgarh, Durg, Patan APMC mandi",geoapify_failed
Chattisgarh,Gariyaband,Chura APMC,"Chattisgarh, Gariyaband, Chura APMC mandi",geoapify_failed
Chattisgarh,Gariyaband,Devbhog APMC,"Chattisgarh, Gariyaband, Devbhog APMC mandi",geoapify_failed
Chattisgarh,Gariyaband,Gariyaband APMC,"Chattisgarh, Gariyaband, Gariyaband APMC mandi",geoapify_failed
Chattisgarh,Gariyaband,Phingeshwer APMC,"Chattisgarh, Gariyaband, Phingeshwer APMC mandi",geoapify_failed
Chattisgarh,Gariyaband,Rajim APMC,"Chattisgarh, Gariyaband, Rajim APMC mandi",geoapify_failed
Chattisgarh,Janjgir,Amadula APMC,"Chattisgarh, Janjgir, Amadula APMC mandi",geoapify_failed
Chattisgarh,Janjgir,Baloda(Janjgir Campus) APMC,"Chattisgarh, Janjgir, Baloda(Janjgir Campus) APMC mandi",geoapify_failed
Chattisgarh,Janjgir,Baradwar APMC,"Chattisgarh, Janjgir, Baradwar APMC mandi",geoapify_failed
Chattisgarh,Janjgir,Birra APMC,"Chattisgarh, Janjgir, Birra APMC mandi",geoapify_failed
Chattisgarh,Janjgir,Champa APMC,"Chattisgarh, Janjgir, Champa APMC mandi",geoapify_failed
Chattisgarh,Janjgir,Hasoad APMC,"Chattisgarh, Janjgir, Hasoad APMC mandi",geoapify_failed
